CodCia,Codigo,Nombre,CtaDbe,Ctahaber,estado
001,0005,BANCO DE LA NACION MN (DETRACCION SOLES),1790104,479101,0010005
001,0009,BBVA CONTINENTAL SOLES 08319,1790104,479101,0010009
001,0010,BANCO CONTINENTAL M.E. 08327,1790104,479101,0010010
001,0015,BANCO DE LA NACION MN ( DETRACCIONES DOLARES),1790104,479101,0010015
001,0017,BBVA CONTINENTAL SOLES 34068,1790104,479101,0010017
001,0018,BANCO SCOTIABANK M.N. 6399240,1790104,479101,0010018
001,0021,BANCO CONTINENTAL M.E. 34068 DOLARES,1790104,479101,0010021
001,0022,BBVA CONTINENTAL DOLARES 08327,1790104,479101,0010022
001,0023,BBVA CONTINENTAL M.E 34076 (SOLES),1790104,479101,0010023
001,0024,BBVA CONTINENTAL ME 34076,1790104,479101,0010024
001,0025,PLANILLA YELAVE NATURE,1790104,479101,0010025
001,0026,RECIBO DE HONORARIOS,1790104,479101,0010026
001,0027,BANCO BCP M.N. 193-9394930-080 (SOLES),1790104,479101,0010027
001,019 ,BANCO BCP M.N. 193-9394931-090,1790104,479101,001019 
001,020 ,BBVA CONTINENTAL M.E. 34068 (DOLARES),1790104,479101,001020 
002,0001,BBVA SOLES: 00110351470100021098,104110,,0020001
002,0002,BBVA DÃ“LARES: 00110351490100021101,1041201,,0020002
002,0003,( NO UTILIZAR ) SCOTIABANK M.N. 761004,,,0020003
002,0004,( NO UTILIZAR ) BANCO CONTINENTAL 21098 (DOLARES),,,0020004
002,0005,BCP SOLES : 193-9394930-080,1041102,,0020005
002,0009,( NO UTILIZAR ) BANCO CONTINENTAL M. N. 51040 (SOLES),,,0020009
002,006 ,( NO UTILIZAR ) SCOTIABANK MN 761004 (DOLARES),,,002006 
002,007 ,BCP DÃ“LARES : .193-9395151-1-23,1041202,,002007 
002,008 ,( NO TULIZAR ) BANCO BCP MN 193-9394930-080 (DOLARES),,,002008 
002,009 ,( NO TULIZAR ) RECIBO DE HONORARIOS,,,002009 
002,010 ,( NO TULIZAR ) PLANILLA BOTICA,,,002010 
002,011 ,( NO UTILIZAR) BBVA CONTINENTAL SOLES 08319,,,002011 
002,012 ,( NO TULIZAR ) BANCO BCP M.N. 193-9394931-090,,,002012 
002,POS ,IZIPAY/POS,103101,,002POS 
003,0002,BANCO DE LA NACION ( DETRACCIONES),1790108,479102,0030002
003,0006,( NO UTILIZAR ) BBVA CONTINENTAL GLAZO M.N. 31719,1790108,479102,0030006
003,0007,( NO UTILIZAR )( BBVA CONTINENTAL GLAZO M.E. 31727,1790108,479102,0030007
003,0008,BBVA SOLES : 0031875,1790108,479102,0030008
003,0009,BBVA DÃ“LARES: 0031883,1790108,479102,0030009
003,0010,( NO UTILIZAR ) BANCO DE LA NACION (DETRACCIONES DOLARES),1790108,479102,0030010
003,0011,(NO UTILIZAR ) BBVA CONTINENTAL MN 31875 (DOLARES),1790108,479102,0030011
003,0012,( NO UTILIZAR ) BANCO CONTINENTAL ME 31883 (SOLES),1790108,479102,0030012
003,0013,( NO UTILIZAR) SCOTIABANK MN 0382004,1790108,479102,0030013
003,0014,( NO UTILIZAR ) SCOTIABANK MN 0382004 (DOLARES),1790108,479102,0030014
003,0015,( NO UTILIZAR ) PLANILLA CORPORACION YLV,1790108,479102,0030015
003,0016,( NO TULIZAR ) RECIBO DE HONORARIOS,1790108,479102,0030016
003,0017,BCP SOLES : 193-4198623-0-3,1790108,479102,0030017
003,0018,BCP DOLARES: 193-4203877-1-12,1790108,479102,0030018
004,0009,BANCO CONTINENTAL M.N. 40323 (SOLES),1790108,479102,0040009
004,0010,BANCO CONTINENTAL M.E. 40331 (DOLARES),1790108,479102,0040010
004,0011,DETRACCIONES M.N. - BANCO DE LA NACION 46321847,1790108,479102,0040011
004,0012,BANCO CONTINENTAL M.N. 40323 (DOLARES),1790108,479102,0040012
004,0013,BANCO CONTINENTAL M.E. 40331 (SOLES),1790108,479102,0040013
004,0014,PLANILLA GRUPO YELAVE,1790109,479102,0040014
005,01  ,BANCO CONTINENTAL M.N. 354820100041249,1790106,479103,00501  
005,02  ,BANCO CONTINENTAL M.E. 00110142010011312372,1790106,479103,00502  
005,03  ,BANCO DE CREDITO M.N. 193-90849338-0-05,1790106,479103,00503  
005,04  ,BANCO DE LA NACION 00046364147,1790106,479103,00504  
005,05  ,(NO UTILIZAR )- PLANILLA YELAVE INDUSTRIAS,1790106,479103,00505  
005,POS ,IZIPAY/POS,1790107,479103,005POS 
007,BC04,BBVA DÃ“LARES: 00110351480100034076,1790104,479101,007BC04
007,BCO1,BBVA SOLES: NÂº S-0011-0351-4501-0034068,1790104,479101,007BCO1
007,BCO2,BCP - BANCO DE CRÃ‰DITO - MON. NAC. NÂº S-193-9394931-0-90,1790104,479101,007BCO2
007,BCO3,( NO UTILIZAR ) YAPE-YLV CEL:934 486 339,1790104,479101,007BCO3
007,POS ,IZIPAY/POS,1790105,479101,007POS 
