CATEGORIA,DESCRIPCION,COD_PROD,ESTADO,OBS
001,ANTICIPO DE O/C                                                                                                                                                                     ,VTAC01,Activo,
002,DESARROLLO DE FORMULA                                                                                                                                                               ,SIC02,Activo,
003,DESARROLLO DE EXPEDIENTES                                                                                                                                                           ,SIC01,Activo,
004,PAGO EXPEDIENTE DIGEMID                                                                                                                                                             ,SVC01,Activo,
007,ESTUDIO DE ESTABILIDAD                                                                                                                                                              ,SIC01,Activo,
011,MUESTRA                                                                                                                                                                             ,VTAC01,Activo,
013,ANALISIS DE CONTROL  DE CALIDAD                                                                                                                                                     ,SIC03,Activo,
017,SERVICIOS MOVILIDAD                                                                                                                                                                 ,SVC01,Activo,
020,SERVICIO LOGISTICO                                                                                                                                                                  ,SVC01,Activo,
100,,VTAC01,Activo,
101,,VTAC01,Activo,
102,,VTAC01,Activo,
103,,VTAC01,Activo,
104,,VTAC01,Activo,
105,,VTAC01,Activo,
106,,VTAC01,Activo,
109,,VTAC01,Activo,
110,,VTAC01,Activo,
111,,VTAC01,Activo,
112,,VTAC01,Activo,
113,,VTAC01,Activo,
114,,VTAC01,Activo,
115,,VTAC01,Activo,
117,,VTAC01,Activo,
118,,VTAC01,Activo,
120,,VTAC01,Activo,
122,,VTAC01,Activo,
123,,VTAC01,Activo,
124,,VTAC01,Activo,
125,,VTAC01,Activo,
126,,VTAC01,Activo,
127,,VTAC01,Activo,
128,,VTAC01,Activo,
129,,VTAC01,Activo,
130,,VTAC01,Activo,
131,,VTAC01,Activo,
132,,VTAC01,Activo,
133,,VTAC01,Activo,
134,,VTAC01,Activo,
135,,VTAC01,Activo,
206,,VTAC01,Activo,
213,,VTAC01,Activo,
311,,VTAC01,Activo,
313,,VTAC01,Activo,
314,,VTAC01,Activo,
315,,VTAC01,Activo,
316,,VTAC01,Activo,
317,,VTAC01,Activo,
318,,VTAC01,Activo,
319,,VTAC01,Activo,
320,,VTAC01,Activo,
321,,VTAC01,Activo,
355,,VTAC01,Activo,
4I0,,VTAC01,Activo,
ME5,,VTAC01,Activo,
MEM,,VTAC01,Activo,
MP0,,VTAC01,Activo,
PT0,,VTAC01,Activo,
SE0,,VTAC01,Activo,
SU0,,VTAC01,Activo,
