CATEGORIA,DESCRIPCION,COD_PROD,ESTADO,OBS
ENY01,ENVASES-POTES,ENY01,Activo,
ENY02,ENVASES-FRASCOS,ENY02,Activo,
ENY03,ENVASES-TUBOS,ENY03,Activo,
ENY04,ENVASES-GALONERAS,ENY04,Activo,
ENY05,ENVASES-TAPAS,ENY05,Activo,
ENY06,ENVASES-VAL./ ATOMIZADORES,ENY06,Activo,
ENY07,ENVASES-ETIQUETAS,ENY07,Activo,
ENY08,ENVASES-ENTCAJA 1RIA CINTILLO-FAJA ESTUCH,ENY08,Activo,
ENY09,ENVASES-SACHETS,ENY09,Activo,
ENY10,ENVASES-TERMOENCOGIBLES,ENY10,Activo,
ENY11,ENVASES-CAJAS PRIMARIAS,ENY11,Activo,
ENY12,ENVASES-TAPONES,ENY12,Activo,
ENY13,ENVASES-GOTEROS,ENY13,Activo,
MEY01,MAT.EMB-CAJAS DE EMBALAJE,MEY01,Activo,
MEY02,MAT.EMB-ENTCJA 2RIA/SEPA/DIV.INTERNAS,MEY02,Activo,
MEY03,MAT.EMB-BOLSAS,MEY03,Activo,
MEY04,MAT.EMB-CINTAS,MEY04,Activo,
PTY01,MERCADERÍA-CORPORALES,PTY01,Activo,
PTY02,MERCADERÍA-FACIALES,PTY02,Activo,
PTY03,MERCADERÍA-BLOQUEADORES,PTY03,Activo,
PTY04,MERCADERÍA-PROD.CUIDADO CAPILAR,PTY04,Activo,
PTY05,MERCADERÍA-HIDROALC./PERFUMERIA,PTY05,Activo,
PTY06,MERCADERÍA-COSMÉTICOS NIÑOS,PTY06,Activo,
PTY07,MERCADERÍA-ASEO-HIGIENE CORPORAL,PTY07,Activo,
PTY08,MERCADERÍA-LIMPIEZA,PTY08,Activo,
PTY09,MERCADERÍA-MASCOTAS,PTY09,Activo,
MMKY1,MERCADERIA MKTG-PROMOCIONES,MMKY1,Activo,
MMKY2,MERCADERIA MKTG-ART.PUBLICIDAD,MMKY2,Activo,
MMKY3,MERCADERIA MKTG-OTROS,MMKY3,Activo,
SCY01,TERCEROS - SERVICIO - ENTREGA DELIVERY,SCY01,Activo,
SCY02,TERCEROS - SERVICIO - CAPACITACIÓN,SCY02,Activo,
SCY03,TERCEROS - SERVICIO - PUBLICIDAD,SCY03,Activo,
SCY04,TERCEROS - SERVICIO-ALMACE. PROD TERMI.,SCY04,Activo,
SUY01,SUMINISTROS-ART. DE LIMPIEZA,SUY01,Activo,
SUY02,SUMINISTROS-MAT. DE ESCRITORIO,SUY02,Activo,
SUY03,SUMINISTROS-SISTEMAS,SUY03,Activo,
SUY04,SUMINISTROS-SUMINISTROS VARIOS,SUY04,Activo,
IEY01,INFRAESTRUCTURA/EQUIPOS-ACTIVOS,IEY01,Activo,
IEY02,INFRAESTRUCTURA/EQUIPOS-VARIOS,IEY02,Activo,
CDY01,CANAL DISTRIB-VENTAS-LINCE,CDY01,Activo,
CDY02,CANAL DISTRIB-VENTAS-LIMA,CDY02,Activo,
CDY03,CANAL DISTRIB-VENTAS-LOSOLIVOS,CDY03,Activo,
CDY04,CANAL DISTRIB-VENTAS-SAN LUIS,CDY04,Activo,
CDY05,CANAL DISTRIB-VENTAS-SURCO,CDY05,Activo,
CDY06,CANAL DISTRIB-VENTAS-JESUS MAR,CDY06,Activo,
CDY07,CANAL DISTRIB-VENTAS-EVENTOS,CDY07,Activo,
CDY08,CANAL DISTRIB-VENTAS-AREQUIPA,CDY08,Activo,
CDY09,CANAL DISTRIB-VENTAS-CONSIG. 1,CDY09,Activo,
SVY01,SERVICIO - VENTAS,SVY01,Activo,
LNY01,LINEA CONT-ENTREGAS A RENDIR,LNY01,Activo,
LNY02,LINEA CONT-GASTOS GENERALES,LNY02,Activo,
LNY03,LINEA CONT-INGRESOS GENERALES,LNY03,Activo,
LNY04,LINEA BOTICA-MERCADERIA,LNY04,Activo,
0217,CURSO DE AROMATERAPIA - OPCION 1,SCY02,Activo,
0218,CURSO DE AROMATERAPIA - OPCION 2,SCY02,Activo,
0219,CURSO DE CUARZOTERAPIA - MODULO 1,SCY02,Activo,
0220,CURSO - PAG. PARCIAL,SCY02,Activo,
0221,CURSO DE DRENAJE LINFATICO,SCY02,Activo,
0222,CURSO DE TITULACION,SCY02,Activo,
0223,CURSO DE TITULACION - PRACTICO,SCY02,Activo,
0201,CURSO PERFECCIONAMIENTO FACIAL I,SCY02,Activo,
0202,CURSO PERFECCIONAMIENTO FACIAL II,SCY02,Activo,
0203,CURSO PERFECCIONAMIENTO FACIAL III,SCY02,Activo,
0204,CURSO PERFECCIONAMIENTO CORPORAL I,SCY02,Activo,
0210,CURSO INTENSIVO DE QUIMICA COSMETICA,SCY02,Activo,
0211,CURSO INTENSIVO MADEROTERAPIA REDUCTORA,SCY02,Activo,
0212,CURSO INTENSIVO DE CUARZOTERAPIA FACIAL,SCY02,Activo,
0213,SEMINARIO FULL DAY,SCY02,Activo,
0214,CONSTANCIA TALLERES,SCY02,Activo,
0205,CURSO PERFECCIONAMIENTO CORPORAL II,SCY02,Activo,
0206,CURSO PERFECCIONAMIENTO CORPORAL III,SCY02,Activo,
0207,CURSO INTENSIVO DE PEELING,SCY02,Activo,
0208,CURSO INTENSIVO DE ELECTROESTETICA FACIAL,SCY02,Activo,
0209,CURSO INTENSIVO DE ELECTROESTETICA CORPORAL,SCY02,Activo,
0215,DUPLICADO - CERTIFICADO,SCY02,Activo,
0216,CAPACITACION MEDICA,SCY02,Activo,
0101,DELIVERY,SCY01,Activo,
0102,EMBALAJE,SCY01,Activo,
