CATEGORIA,DESCRIPCION,COD_PROD,ESTADO,OBS
P000,PERONALIZADOS,PTB04,A,
EST0,ESTETICOS,PTB01,A,
DER0,DERMATOLOGICO,PTB02,A,
POD0,PDOLOGICOS,PTB03,A,
BMVE,MTP,MPBVA,A,
1012,MTP,MPBVA,A,
1150,MTP,MPBVA,A,
1033,MTP,MPBVA,A,
1060,MTP,MPBVA,A,
1215,MTP,MPBVA,A,
1211,MTP,MPBVA,A,
1001,MTP,MPBVA,A,
1024,MTP,MPBVA,A,
1241,MTP,MPBVA,A,
1151,MTP,MPBVA,A,
1017,MTP,MPBVA,A,
DDER,MTP,MPBVA,A,
1022,MTP,MPBVA,A,
1025,MTP,MPBVA,A,
1086,MTP,MPBVA,A,
1097,MTP,MPBVA,A,
1140,MTP,MPBVA,A,
1149,MTP,MPBVA,A,
1159,MTP,MPBVA,A,
1213,MTP,MPBVA,A,
1069,MTP,MPBVA,A,
1078,MTP,MPBVA,A,
1095,MTP,MPBVA,A,
1081,MTP,MPBVA,A,
1096,MTP,MPBVA,A,
1286,MTP,MPBVA,A,
3017,MTP,MPBVA,A,
BMS0,MTP,MPBVA,A,
3010,MTP,MPBVA,A,
2015,ENVASES,ENBVA,A,
2016,ENVASES,ENBVA,A,
1058,MTP,MPBVA,A,
1179,MTP,MPBVA,A,
1290,MTP,MPBVA,A,
1288,MTP,MPBVA,A,
2005,ENVASES,ENBVA,A,
2012,ENVASES,ENBVA,A,
1036,MTP,MPBVA,A,
1243,MTP,MPBVA,A,
2028,ENVASES,ENBVA,A,
1163,MTP,MPBVA,A,
1142,MTP,MPBVA,A,
1008,MTP,MPBVA,A,
1029,MTP,MPBVA,A,
1147,MTP,MPBVA,A,
1037,MTP,MPBVA,A,
1032,MTP,MPBVA,A,
2007,ENVASES,ENBVA,A,
1094,MTP,MPBVA,A,
3006,MTP,MPBVA,A,
1031,MTP,MPBVA,A,
1005,MTP,MPBVA,A,
3004,MTP,MPBVA,A,
4001,MTP,MPBVA,A,
2003,ENVASES,ENBVA,A,
1027,MTP,MPBVA,A,
1065,MTP,MPBVA,A,
1054,MTP,MPBVA,A,
1289,MTP,MPBVA,A,
BMMF,MTP,MPBVA,A,
2002,ENVASES,ENBVA,A,
1233,MTP,MPBVA,A,
3003,MTP,MPBVA,A,
MPT0,MTP,MPBVA,A,
1299,MTP,MPBVA,A,
2018,ENVASES,ENBVA,A,
1116,MTP,MPBVA,A,
1293,MTP,MPBVA,A,
1308,MTP,MPBVA,A,
1026,MTP,MPBVA,A,
1224,MTP,MPBVA,A,
1230,MTP,MPBVA,A,
1165,MTP,MPBVA,A,
1039,MTP,MPBVA,A,
1141,MTP,MPBVA,A,
1162,MTP,MPBVA,A,
1072,MTP,MPBVA,A,
3042,MTP,MPBVA,A,
2024,ENVASES,ENBVA,A,
1071,MTP,MPBVA,A,
1023,MTP,MPBVA,A,
1010,MTP,MPBVA,A,
1252,MTP,MPBVA,A,
1285,MTP,MPBVA,A,
1319,MTP,MPBVA,A,
2008,ENVASES,ENBVA,A,
2037,ENVASES,ENBVA,A,
3002,MTP,MPBVA,A,
1322,MTP,MPBVA,A,
1110,MTP,MPBVA,A,
1236,MTP,MPBVA,A,
1296,MTP,MPBVA,A,
0009,SERVICIOS,SVB01,A,
0007,GASTOS ADMINISTRATIVOS (EMBALAJES Y OTROS),SVB02,A,
0006,DELIVERY S/ 7.50,SVB03,A,
0001,GASTOS ADMINISTRATIVOS,SVB05,A,
0005,DELIVERY S/ 5.00,SVB04,A,
PTM0,MTP,MPBVA,A,
0003,SERVICIO DE COMERCIAL,SVB06,A,
