CATEGORIA,DESCRIPCION,COD_PROD,ESTADO,OBS
0001,GASTOS ADMINISTRATIVOS                                                                                                                                                              ,SCI10,Activo,
0002,GASTOS ADMINISTRATIVOS (EMBALAJES Y OTROS)                                                                                                                                          ,SCI10,Activo,
0003,SERVICIOS VARIOS                                                                                                                                                                    ,SCI10,Activo,
0005,DELIVERY S/ 7.50                                                                                                                                                                    ,SCI09,Activo,
0007,FLETE                                                                                                                                                                               ,SCI09,Activo,
0008,SERVIVIO POR ETIQUETADO                                                                                                                                                             ,SCI10,Activo,
0010,SERVICIO POR PRODUCCION                                                                                                                                                             ,SCI10,Activo,
0011,SERVCIOS ADMINISTRATIVOS                                                                                                                                                            ,SCI10,Activo,
EQP00002,BALANZA OHAUS - MOD. PX623/E- CAP. 620G                                                                                                                                             ,PDI01,Activo,
MC10000002,PAPEL HIGIÉNICO BLANCO  DE 500 M X 4 UND                                                                                                                                            ,PDI01,Activo,
MC10000003,PAPEL TOALLA BLANCO DE 200M X 2 UND                                                                                                                                                 ,PDI01,Activo,
MC10000004,PAPEL TOALLA BLANCO DE 300M X 4 UND                                                                                                                                                 ,PDI01,Activo,
MC10000007,PAPEL TOALLA NATURAL DE 200 MT X 2 UNID                                                                                                                                             ,PDI01,Activo,
MC10000008,PAPEL TOALLA NATURAL DE 300 MT X 2 UNID                                                                                                                                             ,PDI01,Activo,
MC10000009,PAPEL HIGIENICO BLANCO DE 200 MT X 6 UNID.                                                                                                                                          ,PDI01,Activo,
MC10000010,PAPEL TOALLA BLANCO DE 150 M  X2 UND                                                                                                                                                ,PDI01,Activo,
MC10000012,PAPEL TOALLA NATURAL DE 150M X2 UND                                                                                                                                                 ,PDI01,Activo,
MC10000014,DISPENSADOR DE PAPEL HIGIENICO JUMBO  ABS                                                                                                                                           ,PDI01,Activo,
MC10000015,PAPEL HIGIENICO BLANCO DE 300 MT X 4 UNIDADES                                                                                                                                       ,PDI01,Activo,
MC10000017,DISPENSADOR PALANCA ABS SISTEMA MANUAL 35.2X33.2X23 CM                                                                                                                              ,PDI01,Activo,
MC10000020,DISPENSADOR JABON LIQUIDO PLASTICO ABS 1LT                                                                                                                                          ,PDI01,Activo,
MC10000021,DISPENSADOR DE PAPEL HIGIENICO JUMBO ACERO INOXIDABLE                                                                                                                               ,PDI01,Activo,
MC10000023,PAPEL TOALLA INTERFOLIADO BLANCO 1 PQTE X 200 HOJAS                                                                                                                                 ,PDI01,Activo,
MC10000025,PAPEL SABANILLA 50 CM 1 ROLLO                                                                                                                                                       ,PDI01,Activo,
MC10000027,PAPEL SERVILLETA BLANCO DOBLADA EN 4 X 33 CM 1 PQTE                                                                                                                                 ,PDI01,Activo,
MC10000030,BOLSAS PLASTICA NEGRA 20*30 PQTE X 100 UNIDADES                                                                                                                                     ,PDI01,Activo,
MC10000031,BOLSAS PLASTICA NEGRA 75 LITROS PQTE X 100 UNIDADES                                                                                                                                 ,PDI01,Activo,
MC10000032,BOLSAS PLASTICA NEGRA 140 LITROS PQTE X 100 UNIDADES                                                                                                                                ,PDI01,Activo,
MC10000033,BOLSAS PLASTICA NEGRA 26*40 PQTE X 100 UNIDADES                                                                                                                                     ,PDI01,Activo,
MC10000034,DISPENSADOR DE JABON LIQUIDO CON SENSOR 1LT                                                                                                                                         ,PDI01,Activo,
MC10000035,BOLSAS PLASTICA NEGRA 35 LITROS PQTE X 100 UNIDADES                                                                                                                                 ,PDI01,Activo,
MC10000036,BOLSAS PLASTICA NEGRA 50 LITROS PQTE X 100 UNIDADES                                                                                                                                 ,PDI01,Activo,
MC10000037,BOLSAS PLASTICA NEGRA 180  LITROS PQTE X 100 UNIDADES                                                                                                                               ,PDI01,Activo,
MC10000039,DISPENSADOR DE PAPEL TOALLA INTERFOLIADO PLASTICO ABS                                                                                                                               ,PDI01,Activo,
MC10000041,BOLSAS PLASTICA NEGRA 280 LITROS PQTE X 100 UNIDADES                                                                                                                                ,PDI01,Activo,
MC10000047,PAPEL HIGIENICO BLANCO DE 400 MT X 4 UNIDADES                                                                                                                                       ,PDI01,Activo,
MC10000048,BOLSAS PLASTICA NEGRA 140 LITROS 1.5 MICRAS PQTE X 100 UNIDADES                                                                                                                     ,PDI01,Activo,
MC10000052,PAPEL TOALLA BLANCO X6 - 150 MTS                                                                                                                                                    ,PDI01,Activo,
MC10000053,PAPEL HIGIENICO  BLANCO  X 6 - 350 MTS                                                                                                                                              ,PDI01,Activo,
MEM000000000004,FRASCO PET CRISTAL 1000 ML. JL-1000-47                                                                                                                                              ,VTA01,Activo,
MEM000000000011,GALONERA X 4 LT C/TAPA Y TAPON                                                                                                                                                      ,VTA01,Activo,
MEM000000000042,BIDON PEAD VERDE DE 20 LT CON TAPA Y TAPON COSTO                                                                                                                                    ,VTA01,Activo,
MEM000000000043,PULVERIZADOR BLANCO    BOCA 28                                                                                                                                                      ,VTA01,Activo,
MEM0000000000434,FRASCO SPRAY 500 ML CRISTAL                                                                                                                                                         ,VTA01,Activo,
MP000000000019,AGUA DESIONIZADA                                                                                                                                                                    ,VTA01,Activo,
