codigo,Nombre,Empresa,direccion,prouducto,estado,cuenta1,cuenta2,cuenta3,cuenta4,cuenta5
5042111,IZI*YELAVE NATURE SAC,007,CA GERANEOS 329 INT 0 MZ 0 LT 0 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
5042121,IZI*YELAVE NATURE SAC,007,CA LOS GERANEOS 329 MZ 0 LT 0 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
5042129,IZI*YELAVE NATURE SAC,007,CA LOS GERANEOS 329 INT 0 MZ 0 LT 0 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
5060357,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5060403,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5060429,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5060469,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5060496,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5114852,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5114864,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5114885,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5335356,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
5338249,IZI*YELAVE NATURE SAC,007,CA LOS GERANEOS 329 0 0 0 0 1 - LINCE,Izipay,Activo,1790105,,,,
8377254,IZI*YELAVE NATURE SAC,007,CA LOS GERANEOS 329 - LINCE,Izipay,Activo,1790105,,,,
8415512,IZI*YELAVE NATURE SAC,007,AV AVIACION 5095 STAND 37 . - SANTIAGO DE SURCO,Izipay,Activo,1790105,,,,
8425635,IZI*YELAVE NATURE SAC,007,AV CARLOS IZAGUIRRE 1155 - URB. COVIDA 1 ETAPA . - LOS OLIVOS,Izipay,Activo,1790105,,,,
8425640,IZI*YELAVE NATURE SAC,007,AV ARNALDO MARQUEZ 1231 - STAND 132 - PISO 1 . - JESUS MARIA,Izipay,Activo,1790105,,,,
8425642,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8426102,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8426109,IZI*YELAVE NATURE SAC,007,CA SANTIAGO DE SURCO 3010 INT 105 - SANTIAGO DE SURCO,Izipay,Activo,1790105,,,,
8426117,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
8426127,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8426145,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8426150,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8426153,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8478276,IZI*YELAVENATURE,007,CA LOS GERANEOS 329 NIV 1 - LINCE,Izipay,Activo,1790105,,,,
8992951,IZI*YELAVE NATURE SAC,007,CA LOS GERANIOS 329 - LINCE,Izipay,Activo,1790105,,,,
8421179,IZI*BOTICA MAGISTRAL YELAVE SAC,002,JR CALLAO 220 INT 129 - LIMA,Izipay,Activo,103101,,,,
8425658,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8425662,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8426057,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8426061,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8426179,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8426182,IZI*BOTICA MAGISTRAL YELAVE,002,AV SANTIAGO DE SURCO 3010 INT 105 - SANTIAGO DE SURCO,Izipay,Activo,103101,,,,
8426210,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8426659,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANEOS 329 INT 0 MZ 0 LT 0 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8426661,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANEOS 329 INT 0 MZ 0 LT 0 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8474519,IZI*BOTICA MAGISTRAL YELAVE SAC,002,AV PASEO LA CASTELLANA 810 INT 105 NIV 1 - SANTIAGO DE SURCO,Izipay,Activo,103101,,,,
8773251,IZI*BOTICA MAGISTRAL YELAVE,002,CA LOS GERANIOS 329 NIV 1 - LINCE,Izipay,Activo,103101,,,,
8876416,IZI*BOTICA MAGISTRAL YELAVE SAC,002,AV LOS GERANIOS 329 - LINCE,Izipay,Activo,103101,,,,
