COD_ANT,DECRIPCION,COD_PROD,CUENTA_COMPRA,CTA_DES_COMPRA_20,CTA_MER_XRECIBIR,CTA_DESTINO_61,VTA_TERCEROS,VTA_RELACIONADA,DSCTO_TERCERO,DSCTO_RELACIONADO,DEVOL_TERCERO,DEVOL_RELACIONADO,COSTO_VENTAS
101,MAT. PRIM - COMPRAS LOCALES - EXCIPIENTES,MPC01,602101,2411101,2841101,61210241,,,,,,,
102,MAT. PRIM - COMPRAS LOCALES - ACTIVOS,MPC02,602102,2411102,2841102,61210241,,,,,,,
103,MAT. PRIM - COMPRAS LOCALES - EXTRACTOS,MPC03,602103,2411103,2841103,61210241,,,,,,,
104,MAT. PRIM - COMPRAS LOCALES - ACEITES - ACEITES ESENCIALES,MPC04,602104,2411104,2841104,61210241,,,,,,,
105,MAT. PRIM - COMPRAS LOCALES - FRAGANCIAS,MPC05,602105,2411105,2841105,61210241,,,,,,,
106,MAT. PRIM - COMPRAS LOCALES - CONSERVANTES,MPC06,602106,2411106,2841106,61210241,,,,,,,
107,MAT. PRIM - COMPRAS LOCALES - COLORANTES - PIGMENTOS,MPC07,602107,2411107,2841107,61210241,,,,,,,
108,MAT. PRIM - COMPRAS LOCALES - DESINFECTANTES,MPC08,602108,2411108,2841108,61210241,,,,,,,
109,MAT. PRIM - COMPRAS LOCALES - INSUMOS - CLIENTES,MPC09,602109,2411109,2841109,61210241,,,,,,,
201,MAT. PRIM - IMPORTADAS - EXCIPIENTES,MPC10,602201,2411201,2841201,61210241,,,,,,,
202,MAT. PRIM - IMPORTADAS - ACTIVOS,MPC11,602202,2411202,2841202,61210241,,,,,,,
203,MAT. PRIM - IMPORTADAS - FRAGANCIAS,MPC12,602203,2411203,2841203,61210241,,,,,,,
301,MAT. PRIM - FISCALIZADAS - ALCOHOL,MPC13,602301,2411301,2841301,61210241,,,,,,,
401,MAT. EMPAQUE - POTES,MEC01,6041401,261401,2851401,61410261,,,,,,,
402,MAT. EMPAQUE - FRASCOS,MEC02,6041402,261402,2851402,61410261,,,,,,,
403,MAT. EMPAQUE - TUBOS,MEC03,6041403,261403,2851403,61410261,,,,,,,
404,MAT. EMPAQUE - GALONERAS,MEC04,6041404,261404,2851404,61410261,,,,,,,
405,MAT. EMPAQUE - TAPAS,MEC05,6041405,261405,2851405,61410261,,,,,,,
406,MAT. EMPAQUE - VALVULAS/ ATOMIZADORES,MEC06,6041406,261406,2851406,61410261,,,,,,,
407,MAT. EMPAQUE - ETIQUETAS,MEC07,6041407,261407,2851407,61410261,,,,,,,
408,MAT. EMPAQUE - SACHETS,MEC08,6041408,261408,2851408,61410261,,,,,,,
409,MAT. EMPAQUE - TERMOENCOGIBLES,MEC09,6041409,261409,2851409,61410261,,,,,,,
410,MAT. EMPAQUE - CAJAS PRIMARIAS,MEC10,6041410,261410,2851410,61410261,,,,,,,
411,MAT. EMPAQUE - TAPONES,MEC11,6041411,261411,2851411,61410261,,,,,,,
412,MAT. EMPAQUE - GOTEROS,MEC12,6041412,261412,2851412,61410261,,,,,,,
