COD_ANT,DECRIPCION,COD_PROD,CUENTA_COMPRA,CTA_DES_COMPRA_20,CTA_MER_XRECIBIR,CTA_DESTINO_61,VTA_TERCEROS,VTA_RELACIONADA,DSCTO_TERCERO,DSCTO_RELACIONADO,DEVOL_TERCERO,DEVOL_RELACIONADO,COSTO_VENTAS
001,ENVASES-POTES,ENY01,6043101,261101,286101,6142101,70121101,70122101,74111101,74121101,,,
002,ENVASES-FRASCOS,ENY02,6043102,261102,286102,6142102,70121102,70122102,74111102,74121102,,,
003,ENVASES-TUBOS,ENY03,6043103,261103,286103,6142103,70121103,70122103,74111103,74121103,,,
004,ENVASES-GALONERAS,ENY04,6043104,261104,286104,6142104,70121104,70122104,74111104,74121104,,,
005,ENVASES-TAPAS,ENY05,6043105,261105,286105,6142105,70121105,70122105,74111105,74121105,,,
006,ENVASES-VAL./ ATOMIZADORES,ENY06,6043106,261106,286106,6142106,70121106,70122106,74111106,74121106,,,
007,ENVASES-ETIQUETAS,ENY07,6043107,261107,286107,6142107,70121107,70122107,74111107,74121107,,,
008,ENVASES-ENTCAJA 1RIA CINTILLO-FAJA ESTUCH,ENY08,6043108,261108,286108,6142108,70121108,70122108,74111108,74121108,,,
009,ENVASES-SACHETS,ENY09,6043109,261109,286109,6142109,70121109,70122109,74111109,74121109,,,
010,ENVASES-TERMOENCOGIBLES,ENY10,6043110,261110,286110,6142110,70121110,70122110,74111110,74121110,,,
011,ENVASES-CAJAS PRIMARIAS,ENY11,6043111,261111,286111,6142111,70121111,70122111,74111111,74121111,,,
012,ENVASES-TAPONES,ENY12,6043112,261112,286112,6142112,70121112,70122112,74111112,74121112,,,
013,ENVASES-GOTEROS,ENY13,6043113,261113,286113,6142113,70121113,70122113,74111113,74121113,,,
014,MAT.EMB-CAJAS DE EMBALAJE,MEY01,6043801,261801,286801,6142801,70121801,70122801,74111801,74121801,,,
015,MAT.EMB-ENTCJA 2RIA/SEPA/DIV.INTERNAS,MEY02,6043802,261802,286802,6142802,70121802,70122802,74111802,74121802,,,
016,MAT.EMB-BOLSAS,MEY03,6043803,261803,286803,6142803,70121803,70122803,74111803,74121803,,,
017,MAT.EMB-CINTAS,MEY04,6043804,261804,286804,6142804,70121804,70122804,74111804,74121804,,,
018,MERCADERÍA-CORPORALES,PTY01,6011201,2011201,281201,6111201,70121201,70122201,74111201,74121201,,,69111201
019,MERCADERÍA-FACIALES,PTY02,6011202,2011202,281202,6111202,70121202,70122202,74111202,74121202,,,69111202
020,MERCADERÍA-BLOQUEADORES,PTY03,6011203,2011203,281203,6111203,70121203,70122203,74111203,74121203,,,69111203
021,MERCADERÍA-PROD.CUIDADO CAPILAR,PTY04,6011204,2011204,281204,6111204,70121204,70122204,74111204,74121204,,,69111204
022,MERCADERÍA-HIDROALC./PERFUMERIA,PTY05,6011205,2011205,281205,6111205,70121205,70122205,74111205,74121205,,,69111205
023,MERCADERÍA-COSMÉTICOS NIÑOS,PTY06,6011206,2011206,281206,6111206,70121206,70122206,74111206,74121206,,,69111206
024,MERCADERÍA-ASEO-HIGIENE CORPORAL,PTY07,6011207,2011207,281207,6111207,70121207,70122207,74111207,74121207,,,69111207
025,MERCADERÍA-LIMPIEZA,PTY08,6011208,2011208,281208,6111208,70121208,70122208,74111208,74121208,,,69111208
026,MERCADERÍA-MASCOTAS,PTY09,6011209,2011209,281209,6111209,70121209,70122209,74111209,74121209,,,69111209
