COD_ANT,DECRIPCION,COD_PROD,CUENTA_COMPRA,CTA_DES_COMPRA_20,CTA_MER_XRECIBIR,CTA_DESTINO_61,VTA_TERCEROS,VTA_RELACIONADA,DSCTO_TERCERO,DSCTO_RELACIONADO,DEVOL_TERCERO,DEVOL_RELACIONADO,COSTO_VENTAS
5501,Limpieza del Hogar,PDI01,,,,,702215501,702225501,741125501,741225501,,,
5502,Limpieza Industrial e Institucional,PDI02,,,,,702215502,702225502,741125502,741225502,,,
5503,Desinfección,PDI03,,,,,702215503,702225503,741125503,741225503,,,
5504,Limpieza y Mantención Automotriz,PDI04,,,,,702215504,702225504,741125504,741225504,,,
5601,Servicio - Trámite de Registro Sanitario (RS),SCI01,,,,,703215601,703225601,741115601,741215601,,,
5602,Servicio - Actualización y Renovación de RS,SCI02,,,,,703215602,703225602,741115602,741215602,,,
5603,Servicio - Análisis de Estabilidad,SCI03,,,,,703215603,703225603,741115603,741215603,,,
5604,Servicio - Formulación de Producto,SCI04,,,,,703215604,703225604,741115604,741215604,,,
5605,Servicio - Control de Calidad,SCI05,,,,,703215605,703225605,741115605,741215605,,,
5606,Servicio - Almacenaje de Materias Primas,SCI06,,,,,703215606,703225606,741115606,741215606,,,
5607,Servicio - Almacenaje de Productos Terminados,SCI07,,,,,703215607,703225607,741115607,741215607,,,
5608,Servicio - Muestras Clientes,SCI08,,,,,703215608,703225608,741115608,741215608,,,
5609,Servicio - Delivery,SCI09,,,,,703215609,703225609,741115609,741215609,,,
5610,Servicio - Servicios Varios,SCI10,,,,,703215610,703225610,741115610,741215610,,,
5611,Venta General,VTA01,,,,,70121101,70122101,74111,74121,,,
