COD_ANT,DECRIPCION,COD_PROD,CUENTA_COMPRA,CTA_DES_COMPRA_20,CTA_MER_XRECIBIR,CTA_DESTINO_61,VTA_TERCEROS,VTA_RELACIONADA,DSCTO_TERCERO,DSCTO_RELACIONADO,DEVOL_TERCERO,DEVOL_RELACIONADO,COSTO_VENTAS
101,MAT.PRIM-EXCIPIENTES,MPB01,602101,2411101,284101,6121101,,,,,,,
102,MAT.PRIM-ACTIVOS,MPB02,602102,2411102,284102,6121102,,,,,,,
103,MAT.PRIM-EXTRACTOS,MPB03,602103,2411103,284103,6121103,,,,,,,
104,MAT.PRIM-ACEITES/A.ESENCIALES,MPB04,602104,2411104,284104,6121104,,,,,,,
105,MAT.PRIM-FRAGANCIAS,MPB05,602105,2411105,284105,6121105,,,,,,,
106,MAT.PRIM-CONSERVANTES,MPB06,602106,2411106,284106,6121106,,,,,,,
107,MAT.PRIM-COLORANTE/PIGMENTO,MPB07,602107,2411107,284107,6121107,,,,,,,
108,MAT.PRIM-DESINFECTANTES,MPB08,602108,2411108,284108,6121108,,,,,,,
201,MAT.PRIM.FISC.-ALCOHOL,MPBF1,602201,2411201,284201,6121201,,,,,,,
202,MAT.PRIM. VARIOS,MPBVA,,,,,70121202,70122202,74111202,74121202,,,
301,ENVASES-POTES,ENB01,6043301,261301,286301,6142301,,,,,,,
302,ENVASES-FRASCOS,ENB02,6043302,261302,286302,6142302,,,,,,,
303,ENVASES-TUBOS,ENB03,6043303,261303,286303,6142303,,,,,,,
304,ENVASES-GALONERAS/BALDES,ENB04,6043304,261304,286304,6142304,,,,,,,
305,ENVASES-TAPAS,ENB05,6043305,261305,286305,6142305,,,,,,,
306,ENVASES-VALVULAS/ATOMIZADORES,ENB06,6043306,261306,286306,6142306,,,,,,,
307,ENVASES-ETIQUETAS,ENB07,6043307,261307,286307,6142307,,,,,,,
308,ENVASES-TERMOENCOGIBLES,ENB08,6043308,261308,286308,6142308,,,,,,,
309,ENVASES-SACHETS,ENB09,6043309,261309,286309,6142309,,,,,,,
310,ENVASES-VASELINEROS,ENB10,6043310,261310,286310,6142310,,,,,,,
311,ENVASES-CAPSULAS,ENB11,6043311,261311,286311,6142311,,,,,,,
312,ENVASES-TAPONES,ENB12,6043312,261312,286312,6142312,,,,,,,
313,ENVASES-GOTEROS,ENB13,6043313,261313,286313,6142313,,,,,,,
314,ENVASES-SILICA GEL,ENB14,6043314,261314,286314,6142314,,,,,,,
315,ENVASES VARIOS,ENBVA,,,,,70121315,70122315,74111315,74121315,,,
401,MAT.EMB-BOLSAS,MEB01,6042401,262401,286401,6142401,,,,,,,
402,MAT.EMB-CINTAS,MEB02,6042402,262402,286402,6142402,,,,,,,
403,MAT.EMB-CAJAS EMBALAJE,MEB03,6042403,262403,286403,6142403,,,,,,,
501,P.SEMIELAB-COL.SOLUCION,PSB01,,221501,,,,,,,,,
502,P.SEMIELAB-BLEND CUIDADO FACIAL,PSB02,,221502,,,,,,,,,
503,P.SEMIELAB-BLEND CUIDADO CORPORAL,PSB03,,221503,,,,,,,,,
504,P.SEMIELAB-BLEND CUIDADO CAPILAR,PSB04,,221504,,,,,,,,,
505,P.SEMIELAB-BLEND PROVEEDORES,PSB05,,221505,,,,,,,,,
506,P.SEMIELAB-AGUA DESIONIZADA,PSB06,,221506,,,,,,,,,
601,P.EN PROCESO-SEMITERMINADO,PSB07,,,,,,,,,,,
701,PT-ESTÉTICOS,PTB01,,211701,,,70221701,70222701,74112701,74122701,70941701,70942701,69221701
