Moneda,CuentaContable,Descripcion,Tipo,Cod,Estado
FACTURA,421201,FACTURA EMITIDAS MN,T,1T01,Activo
FACTURA,421202,FACTURA EMITIDAS ME,T,2T01,Activo
FACTURA,431201,EMITIDAS RELACIONADAS M.N,R,1R01,Activo
FACTURA,431202,EMITIDAS RELACIONADAS M.E,R,2R01,Activo
RECIBO POR HONORARIOS,424101,HONORARIOS POR PAGAR - MN,T,1T02,Activo
RECIBO POR HONORARIOS,424102,HONORARIOS POR PAGAR - ME,T,2T02,Activo
NOTA DE CREDITO FT,431201,EMITIDAS RELACIONADAS M.N,R,1R07,Activo
NOTA DE CREDITO FT,431202,EMITIDAS RELACIONADAS M.E,R,2R07,Activo
NOTA DE CREDITO FT,421201,FACTURA EMITIDAS MN,T,1T07,Activo
NOTA DE CREDITO FT,421202,FACTURA EMITIDAS ME,T,2T07,Activo
RECIBO,421201,FACTURA EMITIDAS MN,T,1T14,Activo
RECIBO,421202,FACTURA EMITIDAS ME,T,2T14,Activo
RECIBO,431201,EMITIDAS RELACIONADAS M.N,R,1R14,Activo
RECIBO,431202,EMITIDAS RELACIONADAS M.E,R,2R14,Activo
NC RECIBO,421201,FACTURA EMITIDAS MN,T,1T87,Activo
NC RECIBO,421202,FACTURA EMITIDAS ME,T,2T87,Activo
NC RECIBO,431201,EMITIDAS RELACIONADAS M.N,R,1R87,Activo
NC RECIBO,431202,EMITIDAS RELACIONADAS M.E,R,2R87,Activo
INVOICE,421201,FACTURA EMITIDAS MN,T,1T91,Activo
INVOICE,421202,FACTURA EMITIDAS ME,T,2T91,Activo
BOL AEREO,421201,FACTURA EMITIDAS MN,T,1T05,Activo
BOL AEREO,421202,FACTURA EMITIDAS ME,T,2T05,Activo
